[2025-07-14 23:10:28,124] INFO - 🎙️ Starting OMANI Mental Health Voice Bot Session
[2025-07-14 23:10:31,854] INFO - Voice input saved: static/audio\user_input.wav
[2025-07-14 23:10:34,017] INFO - HTTP Request: POST https://api.groq.com/openai/v1/audio/transcriptions "HTTP/1.1 200 OK"
[2025-07-14 23:10:34,017] INFO - Transcription successful.
[2025-07-14 23:10:34,017] INFO - 🤖 Running emotion and intent classification...
[2025-07-14 23:10:34,830] INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-14 23:10:34,830] INFO - 🎭 Emotion: القلق | Intent: تفريغ مشاعر
[2025-07-14 23:10:34,852] INFO - ℹ️ No specific intent matched. Defaulting to 'general_support'
[2025-07-14 23:10:34,852] INFO -  Building culturally adapted prompt...
[2025-07-14 23:10:34,852] INFO -  Generating LLM response using OpenAI...
[2025-07-14 23:10:47,113] INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-14 23:10:47,136] INFO - Response generated successfully with OpenAI.
