[2025-07-15 00:35:57,031] INFO - 🎙️ Starting OMANI Mental Health Voice Bot Session
[2025-07-15 00:36:00,978] INFO - Voice input saved: static/audio\user_input.wav
[2025-07-15 00:36:02,826] INFO - HTTP Request: POST https://api.groq.com/openai/v1/audio/transcriptions "HTTP/1.1 200 OK"
[2025-07-15 00:36:02,826] INFO - Transcription successful.
[2025-07-15 00:36:02,826] INFO - 🤖 Running emotion and intent classification...
[2025-07-15 00:36:03,543] INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-15 00:36:03,543] INFO - 🎭 Emotion: القلق | Intent: تفريغ مشاعر
[2025-07-15 00:36:03,559] INFO - ℹ️ No specific intent matched. Defaulting to 'general_support'
[2025-07-15 00:36:03,559] INFO -  Building culturally adapted prompt...
[2025-07-15 00:36:12,286] INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-15 00:36:12,286] INFO - GPT-4o responded in 8.73s
[2025-07-15 00:36:19,878] INFO - HTTP Request: POST https://api.elevenlabs.io/v1/text-to-speech/DANw8bnAVbjDEHwZIoYa?output_format=mp3_22050_32 "HTTP/1.1 200 OK"
[2025-07-15 00:36:20,011] INFO - [TTS] Arabic TTS saved to: static/audio/arabic_emotional_output.mp3
